Rank,Common Name,Scientific Name,Class,Order,Lifespan (years),Diet,Habitat,IUCN Status,Weight (kg),Region
29,Manatee,Trichechus manatus,Mammalia,Sirenia,40–60,Herbivore,Coastal & Rivers,Vulnerable,200–600,Caribbean & Gulf of Mexico
30,Red Fox,Vulpes vulpes,Mammalia,Carnivora,2–5,Omnivore,Forest & Urban,Least Concern,3–14,Worldwide
31,Snow Owl,Bubo scandiacus,Aves,Strigiformes,10,Carnivore,Arctic tundra,Vulnerable,1.6–3,Arctic
32,Jaguar,Panthera onca,Mammalia,Carnivora,12–15,Carnivore,Rainforest & Wetland,Near Threatened,56–96,Central & South America
33,Platypus,Ornithorhynchus anatinus,Mammalia,Monotremata,12–17,Carnivore,Freshwater,Near Threatened,0.7–2.4,Eastern Australia
34,Manta Ray,Mobula birostris,Chondrichthyes,Myliobatiformes,40,Carnivore (plankton),Tropical Ocean,Endangered,1350–2000,Worldwide tropics
35,Mountain Gorilla,Gorilla beringei beringei,Mammalia,Primates,35–40,Herbivore,Mountain Forest,Endangered,100–225,East Africa
36,Sperm Whale,Physeter macrocephalus,Mammalia,Artiodactyla,60–70,Carnivore,Deep Ocean,Vulnerable,11000–57000,Worldwide oceans
37,Giant Squid,Architeuthis dux,Cephalopoda,Teuthida,5,Carnivore,Deep Ocean,Least Concern,100–275,Worldwide deep seas
38,African Penguin,Spheniscus demersus,Aves,Sphenisciformes,10–15,Carnivore,Coastal Ocean,Endangered,2–5,South Africa
39,Honey Bee,Apis mellifera,Insecta,Hymenoptera,0.1–1,Omnivore (nectar & pollen),Meadows & Forests,Least Concern,0.0001,Worldwide
40,Monarch Butterfly,Danaus plexippus,Insecta,Lepidoptera,0.2–0.9,Herbivore,Open fields & meadows,Endangered,0.0003,North America
