Sweet Name,State of Origin,Region,Main Ingredients,Category,Occasion,GI Tagged,Description
Barfi (Plain),Pan-Indian,North India,Khoya / Sugar / Cardamom,Dry / Set,Festivals / Gifting,No,Dense milk-solid fudge cut into squares or diamonds
Barfi (Kaju Katli),Pan-Indian,North India,Cashews / Sugar / Silver Leaf,Dry / Set,Diwali / Weddings,No,Thin smooth cashew paste diamonds with edible silver leaf
Barfi (Besan),Rajasthan,North India,Besan / Ghee / Sugar,Dry / Set,Festivals,No,Roasted chickpea flour fudge; granular and nutty
Ghevar,Rajasthan,North India,Maida / Ghee / Sugar Syrup / Rabdi,Fried / Soaked,Teej / Raksha Bandhan,No,Crispy disc-shaped sweet soaked in syrup; topped with rabdi
Malpua,Rajasthan / Odisha,North / East India,Maida / Khoya / Sugar Syrup / Fennel,Fried / Soaked,Holi / Puja,No,Pan-fried sweet pancakes soaked in sugar syrup
Kheer,Pan-Indian,North India,Rice / Milk / Sugar / Cardamom,Pudding,Festivals / Everyday,No,Slow-cooked rice pudding with aromatic spices and nuts
Phirni,Punjab / Uttar Pradesh,North India,Ground Rice / Milk / Sugar / Rose Water,Set Pudding,Eid / Weddings,No,Set rice pudding served chilled in earthen pots
Kulfi,Delhi / Uttar Pradesh,North India,Milk / Sugar / Saffron / Pistachio,Frozen,Summer / Festivals,No,Dense Indian ice cream; not whipped; set in moulds
Imarti,Uttar Pradesh,North India,Urad Dal Batter / Sugar Syrup,Fried / Syrup-based,Festivals,No,Darker and denser than jalebi; made from lentil batter
Petha,Uttar Pradesh,Agra,White Pumpkin / Sugar / Rose Water,Crystallised / Soft,Everyday / Tourism,No,Translucent ash-gourd candy; Agra's most iconic sweet
Gujiya,Rajasthan / Uttar Pradesh,North India,Maida / Khoya / Dry Fruits,Fried / Filled,Holi,No,Crescent-shaped fried pastry stuffed with khoya and nuts
Pinni,Punjab,North India,Whole Wheat Flour / Ghee / Sugar / Dry Fruits,Dry / Ball-shaped,Winter / Lohri,No,Energy-dense winter sweet made with atta and jaggery
Balushahi,Rajasthan / Uttar Pradesh,North India,Maida / Ghee / Sugar Glaze,Fried,Festivals,No,Flaky doughnut-like sweet with a sugar glaze
Cham Cham,West Bengal,East India,Chhena / Sugar Syrup / Rabdi,Syrup-based,Festivals / Gifting,No,Elongated chhena sweet soaked in syrup; topped with cream
Rasmalai,West Bengal / Pan-Indian,East India,Chhena / Thickened Milk / Saffron,Syrup-based,Celebrations,No,Flat soft chhena patties in sweetened thickened milk
Mysore Pak,Karnataka,South India,Besan / Ghee / Sugar,Set / Fried,Dasara / Weddings,Yes,Crumbly or firm besan sweet with heavy ghee; origin: Mysore palace
Dharwad Peda,Karnataka,South India,Milk / Sugar / Cardamom,Dry / Round,Festivals / Everyday,Yes,Caramelised milk peda; distinctively dark and coarse
Holige (Puran Poli),Karnataka / Maharashtra,South India,Maida / Chana Dal / Jaggery / Coconut,Flat / Stuffed,Ugadi / Holi,No,Stuffed flatbread with sweet chana dal and jaggery filling
Kesari (Rava Kesari),Karnataka / Tamil Nadu,South India,Semolina / Ghee / Sugar / Saffron,Cooked / Moist,Festivals / Temple,No,Saffron-yellow semolina pudding with cashews
Payasam (Kheer variants),Kerala / Tamil Nadu,South India,Rice/Vermicelli/Moong / Coconut Milk / Jaggery,Pudding,Onam / Vishu,No,South Indian rice pudding; often with coconut milk and jaggery
Ada Pradhaman,Kerala,South India,Rice Ada / Coconut Milk / Jaggery,Pudding,Onam Sadya,No,Layered rice pasta in coconut milk and jaggery; iconic Onam sweet
Kozhukatta,Kerala,South India,Rice Flour / Coconut / Jaggery,Steamed / Dumpling,Shivratri / Everyday,No,Steamed rice dumplings with sweet coconut-jaggery filling
Unniyappam,Kerala,South India,Rice / Jaggery / Banana / Coconut,Fried / Round,Vishu / Temples,No,Small deep-fried rice and banana balls; temple prasad
Pongal (Sweet),Tamil Nadu,South India,Rice / Moong Dal / Jaggery / Ghee,Cooked / Soft,Pongal Festival,No,Festive sweet rice-lentil porridge cooked with jaggery and cashews
Adhirasam,Tamil Nadu,South India,Rice Flour / Jaggery / Cardamom,Fried / Disc-shaped,Diwali / Karthigai,No,Dense fried rice-jaggery discs; chewy and aromatic
Tirunelveli Halwa,Tamil Nadu,South India,Wheat Flour / Ghee / Sugar / Jaggery,Cooked / Set,Special Occasions,Yes,Dark amber set halwa made with water from Thamirabarani river
Athirasala,Kerala / Tamil Nadu,South India,Rice Flour / Jaggery,Fried,Onam / Vishu,No,Similar to Adhirasam; crispy outside and soft inside
Kobbari Mithai (Coconut Barfi),Andhra Pradesh / Telangana,South India,Coconut / Sugar / Cardamom,Dry / Set,Sankranti / Festivals,No,Set coconut fudge; sometimes layered with besan
Putharekulu,Andhra Pradesh,South India,Rice Starch Sheets / Ghee / Sugar / Dry Fruits,Paper-thin / Stuffed,Weddings / Sankranti,Yes,Delicate paper-thin rice sheets stuffed with ghee and nuts
Ariselu,Andhra Pradesh / Telangana,South India,Rice / Jaggery / Sesame / Ghee,Fried,Sankranti,No,Crispy fried rice-jaggery discs with sesame; festive sweet
Pootharekulu,Andhra Pradesh,East Godavari,Rice Paper / Sugar / Nuts / Ghee,Filled / Wrapped,Celebrations,Yes,Same as Putharekulu; wrapped sweet paper rice sheets
Chenna Poda,Odisha,East India,Chhena / Sugar / Cardamom,Baked / Set,Puja / Festivals,Yes,Baked caramelised cottage cheese; Odisha's only baked traditional sweet
Rasabali,Odisha,Puri / Kendrapada,Chhena / Sweetened Milk / Cardamom,Syrup-soaked,Puja,Yes,Flat fried chhena patties soaked in thickened cardamom milk
Chhena Gaja,Odisha,East India,Chhena / Sugar / Maida,Fried / Sugar-coated,Everyday,No,Diamond-shaped fried chhena coated in sugar syrup
Khaja,Odisha / Bihar,East India,Maida / Sugar / Ghee,Layered / Fried,Puja,No,Layered fried pastry with sugar; Jagannath temple prasad
Thekua,Bihar / Jharkhand,East India,Wheat Flour / Jaggery / Coconut / Ghee,Baked / Fried,Chhath Puja,No,Hard sweet biscuit-like offering; integral to Chhath puja
Balushahi (Bihar style),Bihar,East India,Maida / Ghee / Khoya / Sugar,Fried,Festivals,No,Flaky layered fried sweet; coated with thick sugar glaze
Anarsa,Maharashtra / Bihar,West / East,Rice Flour / Jaggery / Poppy Seeds,Fried / Crisp,Diwali,No,Crispy rice and jaggery discs coated in poppy seeds
Modak,Maharashtra,West India,Rice Flour / Coconut / Jaggery,Steamed / Fried,Ganesh Chaturthi,No,Ganesh's favourite; steamed dumplings with coconut-jaggery filling
Puran Poli,Maharashtra,West India,Maida/Wheat / Chana Dal / Jaggery,Flat / Stuffed,Holi / Gudhi Padwa,No,Flatbread stuffed with sweet chana dal; slightly different from Karnataka version
Shrikhand,Maharashtra / Gujarat,West India,Strained Yogurt / Sugar / Saffron / Cardamom,Set / Chilled,Festivals / Summer,No,Thick strained yogurt sweetened with sugar; often flavoured with mango (Aamrakhand)
Basundi,Maharashtra / Gujarat,West India,Milk / Sugar / Saffron / Nuts,Cooked / Poured,Festivals / Weddings,No,Slow-reduced sweetened milk; thinner than Rabdi
Modak (Ukadiche),Maharashtra,West India,Rice Flour / Fresh Coconut / Jaggery,Steamed,Ganesh Chaturthi,No,Steamed rice flour modak; considered the original form
Jalebi (Imarti style),Gujarat / Rajasthan,West India,Maida / Curd / Sugar,Fried / Syrup-soaked,Dussehra / Navratri,No,Thin crispy version of jalebi; popular in Gujarat
Mohanthal,Gujarat,West India,Besan / Ghee / Sugar / Saffron / Mawa,Set / Dry,Diwali / Navratri,No,Fragrant besan fudge with ghee and saffron; Gujarati classic
Sukhdi,Gujarat,West India,Wheat Flour / Jaggery / Ghee,Set / Dry,Everyday / Temple,No,Simple press of whole wheat flour and jaggery with ghee
Chikki (Groundnut),Maharashtra / Gujarat,West India,Peanuts / Jaggery / Ghee,Set / Brittle,Makar Sankranti / Everyday,Yes (Lonavala Chikki),Crunchy peanut brittle set with jaggery
Ghari,Gujarat,Surat,Maida / Mawa / Dry Fruits / Ghee,Fried / Filled,Chandi Padvo,No,Surat's iconic stuffed sweet pastry; filled with mawa and dry fruits
Lal Peda,Uttar Pradesh,Mathura,Khoya / Sugar / Cardamom / Food Colour,Dry / Round,Janmashtami / Everyday,Yes (Mathura Peda),Deep orange khoya rounds; Mathura's most celebrated sweet
Kalakand,Rajasthan / Pan-Indian,North India,Milk / Sugar / Cardamom / Pistachio,Grainy / Set,Festivals,No,Grainy textured milk cake; moist and fragrant
