Spice,Scientific Name,Origin,Primary Producing Countries,Plant Part Used,Scoville Heat Units (SHU),Flavour Profile,Primary Culinary Uses,Medicinal / Other Uses
Fenugreek,Trigonella foenum-graecum,Middle East / South Asia,India / Ethiopia / Egypt,Dried seeds / Leaves,Slight bitter,Bitter / Mapley / Slightly pungent,Curries / Spice mixes / Breads / Indian pickles,Blood sugar regulation / Lactation support
Mustard Seeds (Yellow),Sinapis alba,Mediterranean / Europe,Canada / USA / Nepal,Dried seeds,0,Mild / Slightly nutty,Pickles / European mustard / Tempering,Emulsifier in condiment mustard
Mustard Seeds (Black),Brassica nigra,Mediterranean / South Asia,India / Ukraine / Canada,Dried seeds,0,Pungent / Hot when cracked,Indian tadka / South Indian cooking / Curries,Anti-inflammatory / Digestive
Asafoetida (Hing),Ferula asafoetida,Central Asia (Iran / Afghanistan),Iran / Afghanistan (processed in India),Dried resin gum,0,Intensely pungent / Sulphurous raw; mellow when cooked,Indian dal / Vegetarian cooking; replaces onion/garlic,Digestive / Anti-flatulent; GI Tagged (Kashmiri Hing)
Saffron,Crocus sativus,Iran / Kashmir,Iran / India (Kashmir) / Spain,Dried stigmas of flower,0,Floral / Honey / Metallic / Complex,Biryani / Paella / Risotto / Desserts / Beverages,Antidepressant / Antioxidant; world's most expensive spice by weight
Bay Leaf (Indian),Cinnamomum tamala,Eastern Himalayas,India / Nepal,Dried leaves,0,Cinnamon-like / Clove / Mild,Biryanis / Curries / Garam Masala,Anti-diabetic properties
Bay Leaf (Mediterranean),Laurus nobilis,Mediterranean,Turkey / Greece / Albania,Dried leaves,0,Herbaceous / Floral / Eucalyptus,Soups / Stocks / Stews / Pasta sauces,Anti-fungal / Digestive
Ginger,Zingiber officinale,South Asia,India / China / Nigeria / Indonesia,Fresh / Dried rhizome,Trace,Spicy / Warm / Pungent / Citrusy,Curries / Tea / Stir-fries / Baking / Beverages,Anti-nausea / Anti-inflammatory / Digestive
Galangal,Alpinia galanga,Southeast Asia,Thailand / Indonesia / Malaysia,Fresh / Dried rhizome,Trace,Citrusy / Piney / Sharper than ginger,Thai curries / Laksa / Tom Kha,Digestive / Anti-fungal
Lemongrass,Cymbopogon citratus,Southeast Asia / South Asia,Thailand / India / Vietnam,Stalks (fresh / dried),0,Lemony / Floral / Herbal,Thai / Vietnamese curries / Soups / Teas / Marinades,Anti-microbial / Anxiety relief
Kaffir Lime Leaves,Citrus hystrix,Southeast Asia,Thailand / Indonesia / Malaysia,Leaves / Zest,0,Intensely citrusy / Floral,Thai curries / Coconut soups / Marinades,Dental care (traditional)
Vanilla,Vanilla planifolia,Mexico,Madagascar / Indonesia / Mexico / Tahiti,Dried cured seed pods,0,Sweet / Creamy / Floral / Complex,Desserts / Baking / Ice cream / Custards / Fragrance,Anxiolytic (calming) / Antioxidant
Tamarind,Tamarindus indica,East Africa (origin) / South Asia,India / Thailand / Mexico / West Africa,Dried fruit pulp,0,Intensely sour / Sweet / Fruity,Chutneys / Curries / Pad Thai / Worchestershire sauce / Drinks,Digestive / Laxative / Vitamin C source
Sumac,Rhus coriaria,Middle East / Mediterranean,Iran / Turkey / Syria / Lebanon,Dried berries (ground),0,Tangy / Lemony / Slightly fruity / Astringent,Fattoush / Za'atar spice blend / Grilled meats / Hummus,Antioxidant; replaces lemon in dry applications
Za'atar,Origanum syriacum (herb) + blend,Middle East (Levant),Lebanon / Syria / Palestine / Israel,Herb + dried sesame + sumac,0,Herby / Tangy / Nutty / Earthy,Flatbreads / Olive oil dip / Grilled meats / Salads,Anti-microbial; protected GI in some Levant countries
Juniper Berries,Juniperus communis,Northern Hemisphere,Eastern Europe / USA / Canada,Dried berries,0,Piney / Citrusy / Slightly bitter,Gin flavouring / Wild game / Sauerkraut / Nordic cooking,Diuretic / Anti-microbial
Caraway Seeds,Carum carvi,Europe / Western Asia,Netherlands / Germany / Finland / Egypt,Dried seeds,0,Anise / Earthy / Slightly peppery,Rye bread / Sauerkraut / Goulash / Cheese,Digestive / Anti-spasmodic
Paprika (Sweet),Capsicum annuum,Hungary / Spain,Hungary / Spain / USA / Turkey,Dried ground red pepper,100–1000,Sweet / Fruity / Mild / Rich red colour,Goulash / Chorizo / Devilled eggs / Rubs / Marinades,Antioxidant; rich in Vitamin C
Paprika (Smoked),Capsicum annuum,Spain (La Vera),Spain,Dried smoked ground pepper,100–1000,Smoky / Sweet / Deep,Paella / Chorizo / Patatas bravas / BBQ,Same as sweet paprika; smoked = pimentón
Allspice,Pimenta dioica,Caribbean / Central America,Jamaica / Guatemala / Honduras,Dried berries,0,Tastes like clove + cinnamon + nutmeg / Warm,Jamaican jerk / Mole / Pickling / Christmas baking,Eugenol content (like cloves); anti-microbial
Szechuan Pepper,Zanthoxylum simulans,China (Sichuan),China / Tibet / Japan,Dried fruit husks,Not SHU — causes numbness,Numbing / Citrusy / Tingly / Floral (mala),Chinese 5-spice / Mapo tofu / Sichuan hotpot,Topical analgesic; creates unique neurological tingle
Pink Pepper,Schinus molle,South America (Peru),Réunion / Madagascar / Peru / France,Dried berries,Trace,Fruity / Sweet / Mild spice,Gourmet seasoning / Salads / Seafood / Chocolate,Anti-microbial; not a true pepper
Ancho (Dried Poblano),Capsicum annuum,Mexico,Mexico,Dried poblano chilli,1000–2000,Mild / Sweet / Fruity / Raisin-like,Mole / Mexican sauces / Enchiladas,Anti-oxidant; rich Vitamin C
Chipotle,Capsicum annuum,Mexico,Mexico / USA,Smoked dried jalapeño,2500–8000,Smoky / Earthy / Moderately hot,Tex-Mex / Salsas / BBQ sauces / Adobo,Capsaicin benefits
Amchur (Dried Mango Powder),Mangifera indica,India,India (North India),Dried unripe mango,0,Sour / Fruity / Tangy,Indian chaat / Curries / Marinades / Chutneys,Digestive / Vitamin C source
Kokum,Garcinia indica,India (Konkan coast),India (Maharashtra / Goa / Kerala),Dried rind,0,Intensely sour / Slightly sweet / Fruity,Kokum curry / Solkadhi / Fish dishes / Kokum sherbet,Digestive / Cooling / Anti-inflammatory
Nigella Seeds (Kalonji),Nigella sativa,Middle East / South Asia,India / Egypt / Turkey,Dried seeds,0,Slightly bitter / Peppery / Onion-like,Naan / Pickles / Bengali Panch Phoron / Fatayer,Anti-bacterial / Immunity booster; called "black seed"
Ajwain (Carom Seeds),Trachyspermum ammi,India / Middle East,India / Iran / Egypt,Dried seeds,0,Strong thyme-like / Pungent / Slightly bitter,Indian breads (paratha / puri) / Dal / Digestive water,Strong digestive; anti-flatulent
